efta_number,filename,url,first_seen,last_verified
00008529,EFTA00008529.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008529.pdf,2026-02-15T07:46:50Z,
00008585,EFTA00008585.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008585.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
00008599,EFTA00008599.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008599.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
00008631,EFTA00008631.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008631.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
00008708,EFTA00008708.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008708.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
00008716,EFTA00008716.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008716.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
00008744,EFTA00008744.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008744.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
00008863,EFTA00008863.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008863.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
00008870,EFTA00008870.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008870.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
00008874,EFTA00008874.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008874.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
00008892,EFTA00008892.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008892.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
00008920,EFTA00008920.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008920.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
00008998,EFTA00008998.pdf,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008998.pdf,2026-02-15T07:24:54Z,2026-02-15T07:48:14Z
