efta_number,filename,url,first_seen,last_verified
00000001,EFTA00000001.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000001.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000002,EFTA00000002.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000002.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000003,EFTA00000003.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000003.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000004,EFTA00000004.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000004.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000005,EFTA00000005.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000005.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000006,EFTA00000006.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000006.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000007,EFTA00000007.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000007.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000008,EFTA00000008.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000008.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000009,EFTA00000009.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000009.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000010,EFTA00000010.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000010.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000011,EFTA00000011.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000011.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000012,EFTA00000012.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000012.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000013,EFTA00000013.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000013.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000014,EFTA00000014.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000014.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000015,EFTA00000015.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000015.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000016,EFTA00000016.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000016.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000017,EFTA00000017.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000017.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000018,EFTA00000018.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000018.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000019,EFTA00000019.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000019.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000020,EFTA00000020.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000020.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000021,EFTA00000021.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000021.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000022,EFTA00000022.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000022.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000023,EFTA00000023.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000023.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000024,EFTA00000024.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000024.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000025,EFTA00000025.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000025.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000026,EFTA00000026.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000026.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000027,EFTA00000027.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000027.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000028,EFTA00000028.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000028.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000029,EFTA00000029.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000029.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000030,EFTA00000030.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000030.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000031,EFTA00000031.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000031.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000032,EFTA00000032.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000032.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000033,EFTA00000033.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000033.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000034,EFTA00000034.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000034.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000035,EFTA00000035.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000035.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000036,EFTA00000036.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000036.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000037,EFTA00000037.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000037.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000038,EFTA00000038.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000038.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000039,EFTA00000039.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000039.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000040,EFTA00000040.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000040.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000041,EFTA00000041.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000041.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000042,EFTA00000042.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000042.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000043,EFTA00000043.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000043.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000044,EFTA00000044.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000044.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000045,EFTA00000045.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000045.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000046,EFTA00000046.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000046.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000047,EFTA00000047.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000047.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000048,EFTA00000048.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000048.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000049,EFTA00000049.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000049.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
00000050,EFTA00000050.pdf,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000050.pdf,2026-02-15T07:24:54Z,2026-02-21T18:40:07Z
