efta_number,filename,url,first_seen,last_verified
00008409,EFTA00008409.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008409.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008410,EFTA00008410.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008410.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008411,EFTA00008411.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008411.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008412,EFTA00008412.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008412.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008413,EFTA00008413.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008413.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008414,EFTA00008414.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008414.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008415,EFTA00008415.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008415.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008416,EFTA00008416.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008416.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008417,EFTA00008417.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008417.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008418,EFTA00008418.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008418.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008419,EFTA00008419.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008419.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008420,EFTA00008420.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008420.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008421,EFTA00008421.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008421.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008422,EFTA00008422.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008422.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008423,EFTA00008423.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008423.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
00008424,EFTA00008424.pdf,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008424.pdf,2026-02-15T07:24:54Z,2026-02-20T18:54:05Z
