efta_number,filename,url,first_seen,last_verified
00009016,EFTA00009016.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009016.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009116,EFTA00009116.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009116.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009229,EFTA00009229.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009229.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009329,EFTA00009329.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009329.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009428,EFTA00009428.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009428.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009440,EFTA00009440.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009440.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009448,EFTA00009448.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009448.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009478,EFTA00009478.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009478.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009502,EFTA00009502.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009502.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009512,EFTA00009512.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009512.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009550,EFTA00009550.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009550.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009586,EFTA00009586.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009586.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009622,EFTA00009622.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009622.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009632,EFTA00009632.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009632.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009654,EFTA00009654.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009654.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009658,EFTA00009658.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009658.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
00009664,EFTA00009664.pdf,https://www.justice.gov/epstein/files/DataSet%207/EFTA00009664.pdf,2026-02-15T07:24:54Z,2026-02-17T07:03:30Z
